מפלגה,מעמד פוליטי,בחירות 20,בחירות 21,בחירות 22,בחירות 23,בחירות 24
העבודה,שמאל,786313,190870,212782,267480,268767
מרצ,שמאל,164529,156433,192495,0,202218
הליכוד,ימין,985408,1140370,1113617,1352449,1066892
ישראל ביתנו,מרכז,214906,173004,310154,263365,248370
שס,ימין,241613,258275,330199,352853,316008
יהדות התורה,ימין,210143,249049,268775,274437,248391
יש עתיד,מרכז,371602,0,0,0,614112
כחול לבן,מרכז,0,1125881,1151214,1220381,292257
הרשימה המשותפת,שמאל,446583,193442,470211,581507,212583
רעמ,שמאל,0,143666,0,0,167067
